Epoch: [0][0/97], lr: 0.00200	Time 14.102 (14.102)	Data 12.661 (12.661)	Loss 9.1944 (9.1944)	Prec@1 7.812 (7.812)	Prec@5 32.031 (32.031)
Epoch: [1][0/97], lr: 0.00400	Time 10.401 (10.401)	Data 10.336 (10.336)	Loss 3.9338 (3.9338)	Prec@1 51.562 (51.562)	Prec@5 88.281 (88.281)
Epoch: [2][0/97], lr: 0.00600	Time 11.141 (11.141)	Data 10.169 (10.169)	Loss 3.8835 (3.8835)	Prec@1 53.125 (53.125)	Prec@5 85.938 (85.938)
Epoch: [3][0/97], lr: 0.00800	Time 11.059 (11.059)	Data 10.137 (10.137)	Loss 3.5972 (3.5972)	Prec@1 66.406 (66.406)	Prec@5 92.969 (92.969)
Epoch: [4][0/97], lr: 0.01000	Time 10.702 (10.702)	Data 9.874 (9.874)	Loss 3.3270 (3.3270)	Prec@1 73.438 (73.438)	Prec@5 95.312 (95.312)
Epoch: [5][0/97], lr: 0.01000	Time 11.650 (11.650)	Data 10.858 (10.858)	Loss 3.4836 (3.4836)	Prec@1 68.750 (68.750)	Prec@5 91.406 (91.406)
Epoch: [6][0/97], lr: 0.01000	Time 11.152 (11.152)	Data 10.228 (10.228)	Loss 3.4010 (3.4010)	Prec@1 71.094 (71.094)	Prec@5 92.188 (92.188)
Epoch: [7][0/97], lr: 0.01000	Time 10.956 (10.956)	Data 10.160 (10.160)	Loss 3.4500 (3.4500)	Prec@1 64.844 (64.844)	Prec@5 91.406 (91.406)
Epoch: [8][0/97], lr: 0.01000	Time 10.584 (10.584)	Data 9.844 (9.844)	Loss 3.1118 (3.1118)	Prec@1 75.781 (75.781)	Prec@5 95.312 (95.312)
Epoch: [9][0/97], lr: 0.01000	Time 10.676 (10.676)	Data 9.848 (9.848)	Loss 3.0546 (3.0546)	Prec@1 83.594 (83.594)	Prec@5 96.094 (96.094)
Epoch: [10][0/97], lr: 0.01000	Time 13.530 (13.530)	Data 11.597 (11.597)	Loss 3.0739 (3.0739)	Prec@1 80.469 (80.469)	Prec@5 97.656 (97.656)
Epoch: [11][0/97], lr: 0.01000	Time 11.298 (11.298)	Data 10.213 (10.213)	Loss 2.9509 (2.9509)	Prec@1 82.031 (82.031)	Prec@5 98.438 (98.438)
Epoch: [12][0/97], lr: 0.01000	Time 10.708 (10.708)	Data 9.798 (9.798)	Loss 2.8657 (2.8657)	Prec@1 85.938 (85.938)	Prec@5 95.312 (95.312)
Epoch: [13][0/97], lr: 0.01000	Time 10.511 (10.511)	Data 9.739 (9.739)	Loss 3.0335 (3.0335)	Prec@1 81.250 (81.250)	Prec@5 93.750 (93.750)
Epoch: [14][0/97], lr: 0.01000	Time 10.825 (10.825)	Data 10.009 (10.009)	Loss 3.0408 (3.0408)	Prec@1 79.688 (79.688)	Prec@5 96.875 (96.875)
Epoch: [15][0/97], lr: 0.01000	Time 10.675 (10.675)	Data 9.856 (9.856)	Loss 3.0296 (3.0296)	Prec@1 80.469 (80.469)	Prec@5 96.875 (96.875)
Epoch: [16][0/97], lr: 0.01000	Time 10.860 (10.860)	Data 9.978 (9.978)	Loss 2.9591 (2.9591)	Prec@1 85.156 (85.156)	Prec@5 96.875 (96.875)
Epoch: [17][0/97], lr: 0.01000	Time 11.043 (11.043)	Data 10.163 (10.163)	Loss 2.9111 (2.9111)	Prec@1 84.375 (84.375)	Prec@5 96.875 (96.875)
Epoch: [18][0/97], lr: 0.01000	Time 10.786 (10.786)	Data 9.936 (9.936)	Loss 2.9555 (2.9555)	Prec@1 82.812 (82.812)	Prec@5 96.094 (96.094)
Epoch: [19][0/97], lr: 0.01000	Time 10.703 (10.703)	Data 9.937 (9.937)	Loss 2.8243 (2.8243)	Prec@1 89.062 (89.062)	Prec@5 98.438 (98.438)
Epoch: [20][0/97], lr: 0.01000	Time 11.055 (11.055)	Data 10.196 (10.196)	Loss 2.7472 (2.7472)	Prec@1 88.281 (88.281)	Prec@5 98.438 (98.438)
Epoch: [21][0/97], lr: 0.01000	Time 10.953 (10.953)	Data 9.973 (9.973)	Loss 2.7391 (2.7391)	Prec@1 88.281 (88.281)	Prec@5 96.875 (96.875)
Epoch: [22][0/97], lr: 0.01000	Time 10.885 (10.885)	Data 9.969 (9.969)	Loss 2.9824 (2.9824)	Prec@1 80.469 (80.469)	Prec@5 92.969 (92.969)
Epoch: [23][0/97], lr: 0.01000	Time 10.658 (10.658)	Data 9.757 (9.757)	Loss 2.8917 (2.8917)	Prec@1 86.719 (86.719)	Prec@5 96.094 (96.094)
Epoch: [24][0/97], lr: 0.01000	Time 11.460 (11.460)	Data 10.130 (10.130)	Loss 2.7419 (2.7419)	Prec@1 92.969 (92.969)	Prec@5 98.438 (98.438)
Epoch: [25][0/97], lr: 0.01000	Time 12.755 (12.755)	Data 11.581 (11.581)	Loss 2.8057 (2.8057)	Prec@1 88.281 (88.281)	Prec@5 95.312 (95.312)
Epoch: [26][0/97], lr: 0.01000	Time 12.105 (12.105)	Data 11.234 (11.234)	Loss 2.8629 (2.8629)	Prec@1 85.938 (85.938)	Prec@5 96.094 (96.094)
Epoch: [27][0/97], lr: 0.01000	Time 10.654 (10.654)	Data 9.758 (9.758)	Loss 2.7983 (2.7983)	Prec@1 89.062 (89.062)	Prec@5 97.656 (97.656)
Epoch: [28][0/97], lr: 0.01000	Time 10.658 (10.658)	Data 9.789 (9.789)	Loss 2.7493 (2.7493)	Prec@1 87.500 (87.500)	Prec@5 99.219 (99.219)
Epoch: [29][0/97], lr: 0.01000	Time 10.747 (10.747)	Data 9.946 (9.946)	Loss 2.6373 (2.6373)	Prec@1 90.625 (90.625)	Prec@5 98.438 (98.438)
Epoch: [30][0/97], lr: 0.01000	Time 10.934 (10.934)	Data 9.965 (9.965)	Loss 2.5996 (2.5996)	Prec@1 91.406 (91.406)	Prec@5 97.656 (97.656)
